13220
+Vehicle assignments
car0;z21
car1;z6
car2;z13
car3;z5
car4;z10
car5;z18
car6;z14
car7;z0
car8;z6
car9;z3
car10;z20
car11;z18
car12;z9
car13;z7
+Assigned requests
req0;car3
req1;car7
req2;car2
req3;car1
req4;car12
req5;car5
req6;car3
req7;car13
req9;car10
req12;car2
req14;car13
req16;car11
req18;car9
req22;car3
req23;car0
req24;car3
req25;car12
req27;car4
req28;car9
req29;car11
req30;car2
req31;car0
req32;car2
req33;car0
req35;car1
req37;car10
req38;car7
req39;car13
req40;car2
req42;car0
req43;car5
req44;car3
req45;car11
req46;car3
req47;car5
req48;car7
req49;car6
req50;car1
req51;car4
req53;car8
req56;car1
req58;car5
req60;car3
req61;car5
req64;car2
req66;car9
req68;car11
req69;car8
req70;car0
req71;car8
req72;car0
req73;car6
req74;car4
req76;car1
req79;car8
req83;car11
req85;car4
req86;car5
req87;car13
req88;car7
req92;car9
req93;car8
req94;car6
req96;car12
req97;car6
req98;car10
req99;car4
+Unassigned requests
req8
req10
req11
req13
req15
req17
req19
req20
req21
req26
req34
req36
req41
req52
req54
req55
req57
req59
req62
req63
req65
req67
req75
req77
req78
req80
req81
req82
req84
req89
req90
req91
req95
